data_year,victim_id,offender_id,relationship_id,nibrs_victim_offender_id
2024,208794321,213708643,1,
2024,208794321,213708644,25,
2024,208794219,213708544,16,
2024,210433206,215336791,27,
2024,210433125,215336719,5,
2024,210433126,215336719,5,
2024,208794238,213708565,1,
2024,208794323,213708646,14,
2024,208794284,213708611,21,
2024,208794285,213708611,5,
2024,208794287,213708611,5,
2024,208794289,213708611,5,
2024,210433256,215336829,4,
2024,208794392,213708715,25,
2024,208794392,213708717,18,
2024,208794393,213708715,18,
2024,208794393,213708717,25,
2024,208794270,213708600,3,
2024,208794297,213708621,5,
2024,208794342,213708665,5,
2024,208794443,213708778,3,
2024,225402874,230238657,27,
2024,212385979,217270213,8,
2024,210433201,215336786,22,
2024,212385981,217270215,9,
2024,210433180,215336770,27,
2024,210433208,215336794,18,
2024,210433234,215336816,3,
2024,210433234,215336817,17,
2024,210433265,215336835,24,
2024,210433249,215336826,15,
2024,212385987,217270221,18,
2024,212385982,217270216,7,
2024,212386000,217270234,27,
2024,212385998,217270232,11,
2024,212385989,217270223,6,
2024,212385989,217270224,6,
2024,212385990,217270223,6,
2024,212385990,217270224,6,
2024,229496751,234350855,1,
2024,212386022,217270256,24,
2024,212386031,217270265,3,
2024,212385999,217270233,18,
2024,212386003,217270237,27,
2024,212386003,217270238,27,
2024,212386004,217270237,27,
2024,212386004,217270238,27,
2024,212386023,217270257,18,
2024,212386007,217270241,17,
2024,212386025,217270259,17,
2024,212386030,217270264,9,
2024,212386032,217270264,9,
2024,214209481,219084789,3,
2024,225402799,230238579,3,
2024,212386046,217270279,3,
2024,214209562,219084874,21,
2024,214209589,219084900,3,
2024,214209589,219084901,3,
2024,214209591,219084900,3,
2024,214209591,219084901,3,
2024,214209619,219084930,21,
2024,214209649,219084959,3,
2024,214209677,219084989,27,
2024,214209714,219085031,19,
2024,214209609,219084916,17,
2024,214209638,219084948,19,
2024,214209638,219084949,19,
2024,214209639,219084948,19,
2024,214209639,219084949,19,
2024,214209718,219085035,20,
2024,227369502,232204845,1,
2024,214209689,219085002,27,
2024,215843920,220712151,6,
2024,215843943,220712173,27,
2024,215843943,220712174,27,
2024,215843944,220712173,27,
2024,215843944,220712174,27,
2024,215843981,220712217,3,
2024,215844074,220712302,17,
2024,215844104,220712335,27,
2024,220859311,225710220,21,
2024,217931399,222791414,1,
2024,217931441,222791452,15,
2024,217931443,222791452,19,
2024,217931259,222791271,17,
2024,217931356,222791368,18,
2024,217931383,222791396,21,
2024,217931486,222791499,21,
2024,217931327,222791340,5,
2024,217931362,222791374,5,
2024,220859144,225710046,3,
2024,219693582,224542868,27,
2024,225402875,230238658,18,
2024,219693374,224542665,18,
2024,219693374,224542666,18,
2024,219693382,224542665,18,
2024,219693382,224542666,18,
2024,219693415,224542705,3,
2024,219693449,224542740,18,
2024,219693529,224542813,9,
2024,219693495,224542782,1,
2024,219693526,224542810,27,
2024,219693405,224542695,24,
2024,219693432,224542723,21,
2024,219693468,224542758,19,
2024,219693385,224542677,19,
2024,219693500,224542787,5,
2024,219693533,224542817,25,
2024,219693533,224542818,21,
2024,219693534,224542817,21,
2024,219693534,224542818,25,
2024,219693470,224542760,3,
2024,219693486,224542776,3,
2024,219693518,224542804,1,
2024,229496534,234350638,18,
2024,229496534,234350639,18,
2024,229496536,234350638,18,
2024,229496536,234350639,18,
2024,219693525,224542809,17,
2024,220859202,225710106,3,
2024,220859264,225710170,19,
2024,220859322,225710230,24,
2024,220859316,225710224,16,
2024,229496608,234350712,5,
2024,220859306,225710215,27,
2024,220859277,225710183,24,
2024,225402859,230238645,1,
2024,225402732,230238512,19,
2024,225402819,230238604,3,
2024,225402876,230238659,9,
2024,227369568,232204913,21,
2024,225402832,230238617,5,
2024,206969120,211896635,16,
2024,206969120,211896636,5,
2024,206969044,211896555,24,
2024,206969208,211896732,16,
2024,206969242,211896767,18,
2024,206969242,211896768,25,
2024,206969243,211896767,25,
2024,206969243,211896768,18,
2024,206969245,211896770,18,
2024,225406429,230242206,16,
2024,225406429,230242207,18,
2024,206969235,211896758,16,
2024,206969338,211896854,1,
2024,206969383,211896897,18,
2024,206969383,211896898,18,
2024,206969413,211896926,24,
2024,206969456,211896965,1,
2024,206969240,211896765,24,
2024,206969240,211896766,24,
2024,206969241,211896765,24,
2024,206969241,211896766,24,
