data_year,victim_id,injury_id
2024,220863549,5
2024,220863723,5
2024,220863513,5
2024,220863514,5
2024,220863670,5
2024,220863671,5
2024,220863713,5
2024,220863714,5
2024,220863716,5
2024,220863572,5
2024,220863615,4
2024,220863560,4
2024,220863609,4
2024,220863645,5
2024,220863682,4
2024,220863683,5
2024,220863576,5
2024,220863650,5
2024,220863651,5
2024,220863821,5
2024,220863822,5
2024,220863895,5
2024,220863811,5
2024,220863839,5
2024,220863905,5
2024,220863848,5
2024,220864052,5
2024,220863880,5
2024,220864152,4
2024,220863909,4
2024,220863953,5
2024,220864007,4
2024,220864065,5
2024,220864066,5
2024,220864047,4
2024,220864048,5
2024,220864049,5
2024,220864086,5
2024,220864063,4
2024,220864064,4
2024,220864178,5
2024,220864085,5
2024,220864226,5
2024,220864245,5
2024,220864337,4
2024,220864164,4
2024,220864292,4
2024,220864293,5
2024,220864303,5
2024,220864212,4
2024,220864287,5
2024,227361818,4
2024,220864329,5
2024,220864368,5
2024,220864369,5
2024,220864313,4
2024,220864352,5
2024,220864396,5
2024,220864307,5
2024,220864309,5
2024,220864312,5
2024,220864468,5
2024,220864348,5
2024,220864570,4
2024,220864390,4
2024,220864430,4
2024,220864431,4
2024,220864534,4
2024,220864614,5
2024,220864448,4
2024,220864449,4
2024,220864516,4
2024,220864561,5
2024,220864525,4
2024,220864590,5
2024,220864591,4
2024,220864680,4
2024,220864711,5
2024,220864555,5
2024,220864556,5
2024,220864597,4
2024,220864598,4
2024,220864641,5
2024,220864659,5
2024,220864687,5
2024,220864688,5
2024,220864720,5
2024,220864721,5
2024,220864722,5
2024,220864723,5
2024,220864749,5
2024,220864773,5
2024,220864877,5
