data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2024,57160174,,51
2024,57160106,,51
2024,57160120,,51
2024,57160148,,51
2024,57626074,,51
2024,57160175,,51
2024,57160162,,51
2024,59167957,,5
2024,59167957,,52
2024,57160173,,51
2024,57160146,,51
2024,57160168,,52
2024,57995478,,51
2024,57626086,,51
2024,59752557,,51
2024,59752558,,51
2024,59752559,,51
2024,59752560,,51
2024,57160154,,51
2024,57160155,,51
2024,57160142,,51
2024,57160132,,51
2024,57160133,,51
2024,57160117,,51
2024,57160134,,5
2024,57626092,,51
2024,57160144,,51
2024,57160233,,51
2024,57160170,,51
2024,57160222,,51
2024,57160236,,51
2024,57160171,,51
2024,57160172,,51
2024,57160177,,51
2024,57160207,,51
2024,57160194,,51
2024,57160225,,51
2024,57160189,,51
2024,57626091,,5
2024,57160197,,5
2024,57160212,,51
2024,57160221,,51
2024,57626096,,5
2024,57160213,,51
2024,57160274,,5
2024,57626100,,51
2024,57160217,,51
2024,57160227,,51
2024,57160237,,52
2024,57160248,,51
2024,57160218,,51
2024,57626090,,51
2024,57626097,,51
2024,57626098,,51
2024,57160254,,51
2024,57160251,,51
2024,57160307,,51
2024,57160240,,51
2024,57160253,,51
2024,57160298,,51
2024,57160302,,51
2024,57626107,,51
2024,57160276,,51
2024,57160279,,51
2024,57160260,,51
2024,58711715,,5
2024,57160281,,51
2024,61862669,,51
2024,57160310,,52
2024,57160289,,51
2024,61862679,,51
2024,61862680,,51
2024,57626109,,51
2024,57160267,,51
2024,57160268,,51
2024,57160269,,51
2024,57160270,,52
2024,57160271,,51
2024,57160272,,51
2024,57160285,,51
2024,57160325,,51
2024,57160316,,51
2024,57160317,,51
2024,59752567,,51
2024,57160313,,51
2024,57160347,,51
2024,57160348,,51
2024,57160318,,1
2024,57160334,,51
2024,57160335,,51
2024,59167962,,51
2024,57626106,,51
2024,58711724,,51
2024,58711725,,51
2024,57160366,,51
2024,57160349,,51
2024,57160343,,51
2024,57995474,,51
2024,57160328,,51
2024,57626117,,51
2024,59167968,,5
2024,61862629,,51
2024,61862639,,51
2024,57160353,,51
2024,61862654,,51
2024,57160388,,51
2024,57160424,,51
2024,57626134,,51
2024,57626135,,51
2024,57626136,,51
2024,57160395,,51
2024,59167955,,5
2024,58711707,,5
2024,58711713,,51
2024,59167959,,5
2024,57626122,,52
2024,57626133,,51
2024,60243997,,51
2024,60244007,,51
2024,60243998,,5
2024,60244011,,51
2024,60244022,,51
2024,60244027,,51
2024,61864066,,51
2024,60584030,,51
2024,60583961,,51
2024,60583909,,51
2024,60583931,,51
2024,60583960,,51
2024,60583986,,51
2024,60583972,,51
2024,60583971,,51
2024,60584006,,51
2024,60584019,,51
2024,60584039,,51
2024,60583992,,5
2024,60583993,,5
2024,60584071,,51
2024,60584041,,51
2024,60584060,,5
2024,60584046,,51
2024,60584059,,51
2024,60584090,,51
2024,60584127,,51
2024,60584141,,51
2024,60584167,,51
2024,60584135,,51
2024,60584155,,51
2024,60584169,,51
2024,60584186,,51
2024,60584158,,51
2024,60584216,,5
2024,60584222,,51
2024,60584240,,51
2024,60584205,,5
2024,60584217,,51
2024,61864092,,5
2024,60584235,,51
2024,60584250,,51
2024,60584272,,51
2024,60584285,,51
2024,60584286,,51
2024,60584244,,53
2024,60584274,,51
2024,60584260,,51
2024,60584267,,51
2024,60584299,,51
2024,60584314,,51
2024,60584311,,51
2024,60584328,,51
2024,60584313,,52
2024,60584337,,51
2024,60584324,,51
2024,60584335,,5
2024,60584336,,5
2024,60584356,,5
2024,60584367,,51
2024,61864129,,51
2024,60584362,,53
2024,61864112,,51
2024,61864133,,51
2024,61864100,,51
2024,61864101,,52
2024,61864159,,51
2024,61864169,,51
2024,61864167,,51
2024,61864131,,51
2024,61864162,,52
