data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2024,12,190713765,0.070,3,18711217
2024,5,190713777,0.100,3,18711219
2024,8,190713819,4.000,9,18711230
2024,8,190713819,0.035,3,18711231
2024,12,190713885,0.003,3,18711250
2024,5,192798312,0.035,3,19015155
2024,5,192797483,1.000,11,19014996
2024,12,192797527,0.001,3,19015004
2024,5,194016856,1.000,11,19197829
2024,6,194016856,1.000,11,19197830
2024,12,192797572,0.035,3,19015014
2024,12,192797581,1.000,11,19015018
2024,5,194016816,0.317,3,19197819
2024,5,194016786,0.141,3,19197810
2024,5,194016825,0.176,3,19197822
2024,5,194016825,1.000,11,19197823
2024,12,195465519,0.017,3,19386932
2024,2,194016817,0.335,3,19197820
2024,8,194016817,15.000,9,19197821
2024,2,194016813,0.035,3,19197816
2024,12,194016813,0.052,3,19197817
2024,5,195465474,0.035,3,19386915
2024,5,195465339,0.035,3,19386866
2024,5,195465349,0.035,3,19386869
2024,5,198948004,1.269,3,19881845
2024,5,195465350,0.564,3,19386870
2024,5,179290474,1.400,1,17002413
2024,5,179290500,5.500,1,17002415
2024,5,179290612,13.500,1,17002444
2024,5,179290737,1.000,1,17002463
2024,5,180492549,3.800,1,17171416
2024,5,180492626,3.400,1,17171430
2024,12,187072474,0.900,1,18164886
2024,5,187072474,0.900,1,18164887
2024,5,180494577,26.600,1,17171798
2024,12,187072451,0.100,1,18164868
2024,2,187072467,0.100,1,18164881
2024,5,187072467,148.100,1,18164882
2024,8,187072492,0.200,1,18164894
2024,5,180492846,8.200,1,17171481
2024,5,180492832,0.100,1,17171477
2024,8,187072520,11.000,1,18164909
2024,2,187072520,2.200,1,18164910
2024,12,180492872,0.400,1,17171488
2024,2,180492886,0.100,1,17171495
2024,5,180492912,25.800,1,17171504
2024,16,180492899,1.000,9,17171501
2024,5,180492906,11.200,1,17171502
2024,8,180492988,0.300,1,17171528
2024,5,180493013,35.400,1,17171541
2024,12,180493039,15.100,1,17171552
2024,5,180493039,0.600,1,17171553
2024,5,180493034,7.100,1,17171549
2024,2,180493034,1.900,1,17171550
2024,8,180493099,0.500,1,17171573
2024,5,180493082,8.130,1,17171567
2024,16,180494411,3.000,9,17171771
2024,5,181870062,7.600,1,17374301
2024,2,180493147,1.300,1,17171582
2024,8,187072493,0.500,1,18164895
2024,2,187072523,3.000,1,18164913
2024,5,180493249,12.700,1,17171606
2024,5,180493280,31.000,1,17171609
2024,12,187072430,3.000,1,18164856
2024,16,180493258,1.000,1,17171608
2024,5,180493358,4.400,1,17171623
2024,5,180493295,7.600,1,17171614
2024,8,180493324,7.000,1,17171615
2024,2,180493324,3.800,1,17171616
2024,2,184072486,0.100,1,17713461
2024,12,184072486,0.300,1,17713462
2024,5,180493450,1.400,1,17171641
2024,5,185876200,70.300,1,17987327
2024,12,185876200,1.200,1,17987328
2024,12,180493439,0.400,1,17171636
2024,8,180493439,1.500,1,17171637
2024,5,180493439,19.900,1,17171638
2024,2,187072455,0.200,1,18164872
2024,5,187072455,17.000,1,18164874
2024,5,180493524,56.600,1,17171651
2024,16,180493556,154.200,1,17171656
2024,8,187072465,0.200,1,18164879
2024,12,187072538,9.100,1,18164919
2024,12,180493608,0.300,1,17171663
2024,8,180493608,0.100,1,17171664
2024,12,187072565,1.700,1,18164932
2024,8,180493619,0.100,1,17171665
2024,15,180493619,1.900,1,17171666
2024,8,180493682,0.300,1,17171682
2024,12,180493731,2.000,1,17171693
2024,5,180493817,27.600,1,17171707
2024,15,180493817,1.000,1,17171708
2024,5,181870085,9.000,1,17374309
2024,2,187072464,0.500,1,18164878
2024,8,180494488,0.100,1,17171784
2024,12,187072490,0.900,1,18164893
2024,2,180494484,1.800,1,17171781
2024,13,180494484,0.200,1,17171782
2024,8,180493910,0.100,1,17171713
2024,2,187072456,3.500,1,18164873
2024,12,187072456,3.700,1,18164875
2024,5,187072456,34.300,1,18164876
2024,8,187072468,0.200,1,18164883
2024,8,187072468,3.000,9,18164885
2024,2,187072502,3.100,1,18164902
2024,5,180493940,8.500,1,17171718
2024,5,180493948,2.600,1,17171721
