data_year,weapon_id,offense_id,nibrs_weapon_id
2024,39,226230568,
2024,41,226230611,
2024,41,226230471,
2024,5,226230558,
2024,41,226230550,
2024,21,226230563,
2024,41,226230641,
2024,41,226230645,
2024,38,226230513,
2024,41,226230598,
2024,41,226230669,
2024,41,226230605,
2024,41,226230660,
2024,41,226230706,
2024,41,226230865,
2024,41,226230739,
2024,5,226230913,
2024,41,226230794,
2024,41,226230940,
2024,41,226230804,
2024,41,226230849,
2024,41,226230945,
2024,41,226230866,
2024,41,226230958,
2024,41,226231027,
2024,38,226230877,
2024,5,226230966,
2024,38,226230993,
2024,41,226231081,
2024,42,226231233,
2024,41,226231018,
2024,1,226231135,
2024,41,226231257,
2024,5,226231078,
2024,41,226231126,
2024,41,226231164,
2024,21,226231155,
2024,5,226231228,
2024,42,226231152,
2024,41,226231075,
2024,39,226231117,
2024,31,226231190,
2024,41,226231278,
2024,41,226231252,
2024,41,226231268,
2024,41,226231414,
2024,41,226231284,
2024,5,226231365,
2024,38,226231407,
2024,41,226231460,
2024,38,226231500,
2024,21,226231320,
2024,21,226231483,
2024,5,226231515,
2024,38,226231635,
2024,41,226231490,
2024,38,226231581,
2024,39,226231640,
2024,39,226231641,
2024,38,226231551,
2024,41,226231784,
2024,41,226231825,
2024,41,226231586,
2024,41,226231649,
2024,41,226231729,
2024,41,226231768,
2024,41,226231624,
2024,41,239867779,
2024,1,226231654,
2024,41,226231743,
2024,39,226231817,
2024,41,226231857,
2024,41,226231861,
2024,5,226231862,
2024,38,226231870,
2024,41,226231897,
2024,41,228685834,
