fips,county_name,total_emp,total_estab,total_payann,emp_11,emp_21,emp_22,emp_23,emp_31_33,emp_42,emp_44_45,emp_48_49,emp_51,emp_52,emp_53,emp_54,emp_55,emp_56,emp_61,emp_62,emp_71,emp_72,emp_81,estab_11,estab_21,estab_22,estab_23,estab_31_33,estab_42,estab_44_45,estab_48_49,estab_51,estab_52,estab_53,estab_54,estab_55,estab_56,estab_61,estab_62,estab_71,estab_72,estab_81,share_11,share_21,share_22,share_23,share_31_33,share_42,share_44_45,share_48_49,share_51,share_52,share_53,share_54,share_55,share_56,share_61,share_62,share_71,share_72,share_81,avg_annual_wage
18027,Daviess,11895,934,524928,5.0,136.0,59.0,1533.0,2589.0,458.0,1667.0,884.0,118.0,366.0,47.0,496.0,,379.0,,1519.0,58.0,882.0,696.0,3.0,3.0,5.0,210.0,112.0,39.0,116.0,46.0,11.0,51.0,18.0,44.0,,22.0,,74.0,8.0,63.0,106.0,0.04,1.14,0.5,12.89,21.77,3.85,14.01,7.43,0.99,3.08,0.4,4.17,,3.19,,12.77,0.49,7.41,5.85,44130.0
18029,Dearborn,13159,984,564820,,,53.0,617.0,2085.0,348.0,2053.0,443.0,79.0,250.0,89.0,468.0,,295.0,4.0,2324.0,881.0,2419.0,527.0,,,11.0,141.0,45.0,33.0,146.0,48.0,7.0,54.0,33.0,67.0,,38.0,3.0,139.0,15.0,81.0,117.0,,,0.4,4.69,15.84,2.64,15.6,3.37,0.6,1.9,0.68,3.56,,2.24,0.03,17.66,6.7,18.38,4.0,42923.0
18031,Decatur,11925,642,590600,,36.0,34.0,305.0,4600.0,387.0,1229.0,949.0,77.0,359.0,53.0,145.0,,846.0,71.0,1391.0,41.0,984.0,412.0,,4.0,4.0,60.0,47.0,34.0,113.0,41.0,11.0,42.0,18.0,35.0,,24.0,6.0,69.0,9.0,57.0,66.0,,0.3,0.29,2.56,38.57,3.25,10.31,7.96,0.65,3.01,0.44,1.22,,7.09,0.6,11.66,0.34,8.25,3.45,49526.0
18033,DeKalb,20900,1034,1173569,5.0,23.0,,754.0,9803.0,854.0,1573.0,1940.0,106.0,427.0,108.0,465.0,132.0,566.0,25.0,1646.0,225.0,1523.0,701.0,3.0,4.0,,122.0,118.0,43.0,116.0,66.0,13.0,61.0,35.0,63.0,3.0,58.0,5.0,87.0,19.0,95.0,120.0,0.02,0.11,,3.61,46.9,4.09,7.53,9.28,0.51,2.04,0.52,2.22,0.63,2.71,0.12,7.88,1.08,7.29,3.35,56152.0
18035,Delaware,40300,2308,1888709,10.0,,169.0,1761.0,3781.0,1237.0,5959.0,827.0,757.0,1789.0,552.0,936.0,411.0,3684.0,131.0,11025.0,467.0,4907.0,1863.0,4.0,,8.0,189.0,106.0,99.0,387.0,46.0,24.0,139.0,109.0,139.0,16.0,141.0,21.0,342.0,47.0,220.0,267.0,0.02,,0.42,4.37,9.38,3.07,14.79,2.05,1.88,4.44,1.37,2.32,1.02,9.14,0.33,27.36,1.16,12.18,4.62,46866.0
18037,Dubois,28785,1311,1420406,14.0,,59.0,1013.0,10879.0,1894.0,2830.0,1557.0,107.0,570.0,126.0,418.0,1598.0,440.0,78.0,4015.0,198.0,2134.0,850.0,9.0,,5.0,157.0,95.0,78.0,217.0,67.0,16.0,84.0,36.0,80.0,12.0,47.0,4.0,136.0,18.0,115.0,134.0,0.05,,0.2,3.52,37.79,6.58,9.83,5.41,0.37,1.98,0.44,1.45,5.55,1.53,0.27,13.95,0.69,7.41,2.95,49345.0
18039,Elkhart,143423,5155,8642260,33.0,,87.0,4130.0,83975.0,8249.0,10252.0,2794.0,395.0,1751.0,722.0,1853.0,2107.0,3575.0,1202.0,10494.0,545.0,7202.0,4003.0,11.0,,6.0,460.0,835.0,400.0,716.0,200.0,41.0,222.0,187.0,298.0,29.0,225.0,48.0,404.0,52.0,426.0,588.0,0.02,,0.06,2.88,58.55,5.75,7.15,1.95,0.28,1.22,0.5,1.29,1.47,2.49,0.84,7.32,0.38,5.02,2.79,60257.0
18041,Fayette,4698,413,189638,,,52.0,72.0,923.0,170.0,899.0,63.0,48.0,127.0,26.0,89.0,24.0,97.0,,1014.0,30.0,778.0,266.0,,,5.0,26.0,29.0,13.0,72.0,16.0,5.0,28.0,11.0,20.0,3.0,15.0,,58.0,7.0,45.0,56.0,,,1.11,1.53,19.65,3.62,19.14,1.34,1.02,2.7,0.55,1.89,0.51,2.06,,21.58,0.64,16.56,5.66,40366.0
18043,Floyd,29838,1886,1452478,,,54.0,2739.0,6076.0,669.0,3251.0,446.0,158.0,646.0,289.0,1387.0,139.0,1725.0,311.0,6754.0,266.0,3428.0,1498.0,,,6.0,190.0,112.0,76.0,213.0,49.0,20.0,132.0,108.0,182.0,7.0,87.0,17.0,288.0,18.0,172.0,206.0,,,0.18,9.18,20.36,2.24,10.9,1.49,0.53,2.17,0.97,4.65,0.47,5.78,1.04,22.64,0.89,11.49,5.02,48679.0
18049,Fulton,5218,461,224290,8.0,,33.0,186.0,1638.0,276.0,998.0,91.0,,183.0,12.0,91.0,,62.0,,736.0,12.0,532.0,297.0,3.0,,4.0,47.0,35.0,17.0,94.0,21.0,,25.0,7.0,18.0,,17.0,,45.0,3.0,47.0,74.0,0.15,,0.63,3.56,31.39,5.29,19.13,1.74,,3.51,0.23,1.74,,1.19,,14.11,0.23,10.2,5.69,42984.0
