fips,county_name,mental_unhealthy_days,physical_unhealthy_days,pct_uninsured,primary_care_rate,mental_health_provider_rate,mental_health_provider_ratio,pct_alcohol_driving_deaths,injury_death_rate,life_expectancy,age_adjusted_death_rate,pct_frequent_mental_distress,pct_frequent_physical_distress,drug_overdose_rate,suicide_rate
18065,Henry,5.1792276411,3.8866423501,7.2957599406,40.87054,108.35122000000001,923:1,7.3170731707,93.095615403,74.207317736,533.98710661,17.4,12.0,24.147923279,17.69039723
18067,Howard,4.9905326794,3.8780003248,7.2166337345,54.966719999999995,226.14688999999998,442:1,33.333333333,117.96215542,72.962579111,573.86517907,17.2,11.8,46.593268879,18.07921442
18069,Huntington,5.1818566369,3.8043076695,8.3378876896,54.47068,114.02509,877:1,18.75,85.615968476,75.420733059,442.32519721,17.2,11.6,34.661412726,15.184538941
18071,Jackson,5.0945780102,3.9077613238,10.598047728,67.29329,88.55292,1129:1,12.280701754,103.81322607,74.991565505,464.98002916,17.3,12.1,37.169194172,18.515422166
18073,Jasper,5.0106541297,3.6928115364,8.7111718691,24.17576,57.08963,1752:1,8.5714285714,92.265292673,75.974173586,434.56689131,17.0,11.1,27.973984195,14.751013453
18075,Jay,5.6951150781,4.2176955535,8.5200974421,29.632559999999998,89.11773000000001,1122:1,0.0,125.47539612,74.19456805,505.3725115,18.7,13.1,45.826513912,24.065753536
18077,Jefferson,5.5648470929,3.9230538169,8.1678933758,60.348209999999995,124.44605999999999,804:1,11.111111111,101.94246738,75.000743915,473.35453686,18.0,11.9,26.650539673,17.293052057
18079,Jennings,5.7014739832,4.0603772245,7.8629834254,43.781240000000004,112.57990000000001,888:1,15.384615385,110.95318211,73.651685314,548.20922897,18.0,12.2,38.713267763,25.618355433
18081,Johnson,4.9493418835,3.4334971618,7.5718223451,80.34182,127.27558,786:1,6.1224489796,70.474562339,76.872061084,372.8231109,16.1,10.1,31.258280339,15.514325028
18083,Knox,5.1478651508,4.0638834345,8.8968609865,72.31060000000001,215.14990999999998,465:1,22.580645161,91.565608394,73.923057101,540.98583144,17.7,12.4,11.91873258,16.936120356
18085,Kosciusko,4.9115901328,3.6363415808,11.062458564,43.69211,194.24443000000002,515:1,18.055555556,68.748426089,76.809908871,417.24936687,16.5,11.0,18.863969818,12.93133247
18087,LaGrange,5.6464658382,4.3458489422,24.936430883,24.67673,61.17555,1635:1,12.121212121,51.787420182,78.624795423,322.26843639,18.4,13.1,8.3155242522,13.522227705
18089,Lake,5.4082901884,3.8393301203,9.2741257773,50.74635000000001,215.93430999999998,463:1,27.338129496,98.171801061,74.747473955,496.76141392,16.4,11.9,36.966893565,12.021184265
18091,LaPorte,5.0593750536,3.9813780434,7.5248196265,37.36987,117.30467999999999,852:1,23.863636364,100.72883472,74.794252297,490.57231338,17.0,12.2,37.958552875,20.813182759
